topic,batch,topicsperbatch,keywords,vol
1,1,10,now|talk|one|heat|fossil|exc|planet|min|free|polit,533
2,1,10,biggest|threat|need|expe|disast|economi|deni|pari|big|oil,559
3,1,10,scientist|time|scienc|#sot|obama|#actonclim|impact|tho|presid|fail,627
4,1,10,year|record|hottest|#hottestyear|news|temperat|thank|#market|smash|#pr,379
5,1,10,risk|new|ice|energi|next|food|renew|plant|age|biodivers,585
6,1,10,#thori|#coal|call|sol|#gop|#lnp|face|interest|#oil|politician,446
7,1,10,denier|weather|action|thing|back|believ|real|extrem|right|flood,613
8,1,10,govern|carbon|tax|hawk|consid|polici|tackl|sta|nsw|approach,283
9,1,10,econom|serio|world|read|billion|bet|denial|col|wasnt|activ,391
10,1,10,affect|fight|make|stop|peopl|good|eah|show|cons|ind,578
11,2,10,tackl|#thori|serio|big|#solar|time|#renew|power|talk|face,605
12,2,10,#csiro|one|malcolm|call|lake|fight|dri|system|lost|innov,486
13,2,10,scienc|year|record|#scienc|denier|temperat|peopl|combat|believ|hottest,637
14,2,10,scientist|answer|chief|claim|derid|exec|senior|csiro|money|solv,340
15,2,10,world|forest|heritag|thank|zika|tree|sander|affect|increas|poll,547
16,2,10,csiro|research|head|rise|ocean|water|work|red|job|noaa,358
17,2,10,action|need|marriag|real|news|#market|#coal|#pr|join|predict,480
18,2,10,impact|make|stop|great|effect|respons|lnp|weather|#actonclim|ignor,529
19,2,10,new|now|chang|risk|threaten|nat|creat|rep|heat|polit,630
20,2,10,fire|tasmania|devast|good|area|tasmanian|govern|ancient|learn|central,385
21,3,10,action|repo|coal|#thori|carbon|stall|frozen|panership|park|power,489
22,3,10,research|rise|sea|year|level|show|rate|big|fastest|island,364
23,3,10,impact|chang|find|link|next|fire|polici|join|ice|peopl,748
24,3,10,need|#csiro|scienc|energi|adapt|reef|lead|coral|answer|share,440
25,3,10,record|save|protect|jan|nat|right|#ilggclim|temperat|threaten|#speciesonthemov,375
26,3,10,threat|believ|face|news|earli|#market|#pr|ripen|grape|wine,402
27,3,10,#csiroc|risk|plan|time|cost|leav|health|fail|danger|damag,458
28,3,10,csiro|scientist|speci|fli|navig|model|faster|head|melbo|denier,486
29,3,10,now|new|make|talk|thing|econom|great|combat|dep|singl,539
30,3,10,world|effect|#scienc|one|act|affect|govern|increas|nation|good,699
31,4,10,action|chang|save|leader|sta|elect|make|need|vital|brave,264
32,4,10,address|act|iss|pai|white|big|paper|risk|deni|abbott,464
33,4,10,speech|leo|#oscar|accept|oscar|win|thank|talk|fossil|indigen,480
34,4,10,scientist|record|sea|planet|#actonclim|ice|rise|effect|temperat|tackl,643
35,4,10,world|great|nat|increas|believ|fight|find|arg|denier|nbn,606
36,4,10,leonardo|now|year|stop|tho|hit|wait|dicaprio|warn|read,461
37,4,10,call|debat|liber|nsw|nation|scienc|lib|sign|#lnp|#coal,389
38,4,10,threat|real|right|face|sho|happen|entir|winner|#oscar|victim,354
39,4,10,need|polit|news|make|polici|#scienc|toni|windsor|green|carbon,512
40,4,10,peopl|new|impact|health|repo|#heathealth|one|time|research|million,826
41,5,10,need|now|scienc|#thori|reef|great|news|iss|believ|nation,566
42,5,10,new|one|make|coal|talk|carbon|csiro|day|chang|stop,825
43,5,10,time|disc|peopl|govern|call|politician|serio|marriag|tweet|contin,390
44,5,10,temperat|spike|polici|shocker|overdr|scientist|work|danger|happen|labor,295
45,5,10,scientist|chief|warn|weather|#scienc|energi|extrem|link|lose|battl,377
46,5,10,record|world|heat|show|febr|lose|battl|set|mileston|smash,473
47,5,10,#qanda|denier|rate|deni|alarm|place|conseq|liber|give|#lnpfail,491
48,5,10,emiss|#greatbarrierreef|risk|level|#coralbleach|bleach|rise|strong|sea|inact,537
49,5,10,research|mari|action|#eahho|robinson|year|polit|threat|fight|presid,725
50,5,10,poll|right|address|feder|#essenti|amo|effo|activ|normal|realiti,320
51,6,10,warn|time|year|stop|first|tho|#thori|abbott|live|address,480
52,6,10,now|day|record|destroy|evid|solid|respons|save|increas|wors,411
53,6,10,devast|#gbr|#coralbleach|fear|polici|temperat|#csiro|spike|speaker|marriag,339
54,6,10,health|impact|emiss|carbon|sea|rise|fact|effect|good|today,771
55,6,10,world|john|make|hewson|recess|face|head|adani|job|crisi,344
56,6,10,action|coal|scienc|financi|talk|believ|energi|csiro|real|wipe,635
57,6,10,reef|great|barrier|danger|bleach|coral|grave|attenboro|chang|deni,433
58,6,10,scientist|repo|research|denier|worri|coalit|sack|ice|meteorolog|plan,449
59,6,10,new|govt|#coal|ignor|one|approv|sign|power|pari|lnp,628
60,6,10,#greatbarrierreef|risk|water|need|malcolm|tackl|#scienc|read|air|death,509
61,7,10,scienc|impact|brandi|settl|research|leader|thank|key|denial|kid,538
62,7,10,action|nation|effect|bill|peopl|lead|rog|pai|commit|fossil,472
63,7,10,#greatbarrierreef|world|#heatdestroysreef|threaten|feder|risk|threat|speci|#thedr|comm,497
64,7,10,coal|polici|chang|news|call|energi|eah|mine|minist|talk,701
65,7,10,polit|make|big|play|nbn|poll|recent|game|show|two,380
66,7,10,reef|now|great|denier|barrier|coral|bleach|time|wors|clo,578
67,7,10,websit|rise|sea|level|home|reveal|swamp|facebook|nasa|disc,353
68,7,10,new|ind|year|repo|oil|knew|affect|record|#coal|deni,650
69,7,10,scientist|believ|tackl|stop|consens|agre|food|serio|elect|price,471
70,7,10,need|georg|care|give|govt|real|gay|regret|impress|join,358
71,8,10,believ|peopl|ind|impact|rise|year|tilt|read|#scienc|affect,607
72,8,10,#greatbarrierreef|reef|great|save|coral|barrier|bleach|david|attenboro|#coal,436
73,8,10,lnp|scienc|#qanda|vote|need|admit|settl|decid|danger|accept,438
74,8,10,scientist|fight|time|one|govern|make|job|creat|defenc|temperat,516
75,8,10,labor|polici|anno|respons|elect|coalit|shoen|liber|posit|greg,366
76,8,10,tackl|emiss|effect|stop|carbon|act|red|good|fossil|renew,604
77,8,10,#eahday|world|threat|iss|big|green|serio|biggest|combat|tax,633
78,8,10,action|real|plan|invest|find|gro|deliv|commit|econom|detail,485
79,8,10,now|coal|fiona|lead|today|minist|talk|georg|nash|mine,384
80,8,10,new|sign|pari|agreement|#parisagr|nation|leader|abbott|deal|inact,529
81,9,10,time|clean|energi|address|mine|serio|word|#coal|ineq|ignor,403
82,9,10,mention|scott|morrison|#cleanenergi|bother|congrat|scotti|beam|#storifi|fail,351
83,9,10,bleach|great|reef|barrier|made|imposs|denier|environ|likeli|coral,389
84,9,10,scientist|#greatbarrierreef|weather|warm|major|sign|clear|#qldpol|increas|top,409
85,9,10,polici|labor|scare|campaign|one|water|fight|real|govt|tax,985
86,9,10,new|ocean|threat|oxygen|sta|believ|malcolm|level|drop|investor,532
87,9,10,respons|news|asyl|back|pathet|lenor|taylor|#market|#pr|seeker,193
88,9,10,mention|total|speech|zero|grow|grand|night|rich|gap|#betterb,178
89,9,10,action|world|govern|now|tackl|need|note|plan|save|#bleach,602
90,9,10,peopl|face|fail|talk|make|big|polit|iss|ref|show,958
91,10,10,carbon|repo|recommend|price|back|mandatori|held|elect|excl|boom,382
92,10,10,action|real|#notinthet|address|invest|polici|creat|plan|effect|time,497
93,10,10,mention|energi|#qanda|clean|bill|renew|job|now|big|ignor,673
94,10,10,elect|women|labor|fair|belief|fight|stand|afford|pledg|left,269
95,10,10,need|control|govern|ref|next|campaign|peopl|biggest|econom|act,425
96,10,10,tackl|great|oper|barrier|govern|feat|fix|agenc|head|smirk,291
97,10,10,new|minist|lnp|world|believ|govt|impact|pacif|sold|deni,624
98,10,10,first|island|one|wildfir|rise|day|pai|move|claim|good,798
99,10,10,coal|link|definit|greg|mine|arg|adani|environ|#adani|smoke,579
100,10,10,talk|fire|#greatbarrierreef|reef|warn|canada|iss|made|coral|mcm,459
101,11,10,coal|power|now|station|#climateact|chang|emiss|red|happen|link,489
102,11,10,island|rise|five|sea|pacif|real|lost|make|hit|solomon,515
103,11,10,impact|scienc|time|one|first|carbon|csiro|tackl|great|read,655
104,11,10,peopl|need|ignor|temperat|act|increas|spiral|destroy|amaz|amp,612
105,11,10,#qanda|vote|polici|major|winner|poll|care|lnp|politician|feder,577
106,11,10,action|peac|klein|naomi|prize|sydney|win|lack|criticis|give,413
107,11,10,mention|good|recent|fight|malcolm|economi|thrive|left|open|civil,401
108,11,10,new|world|govern|iss|scientist|effect|water|kid|point|alp,744
109,11,10,answer|scott|morrison|transcript|research|enorm|nat|meas|decad|millennia,193
110,11,10,pass|mileston|back|cape|grim|aptli|dither|close|bipaisanship|break,399
111,12,10,elect|greg|save|scientist|great|iss|reef|central|csiro|tim,528
112,12,10,new|big|coal|project|loan|reject|bank|environ|temperat|act,362
113,12,10,talk|time|make|good|leader|believ|ref|first|fire|#climateact,658
114,12,10,sta|year|barnabi|worri|joyc|face|minist|dep|prime|happen,453
115,12,10,carbon|lnp|denier|next|wave|price|polit|proof|irref|electr,342
116,12,10,peopl|world|risk|rise|citi|bank|crisi|migrat|affect|win,486
117,12,10,impact|work|bad|tackl|pretti|vote|effect|today|research|day,533
118,12,10,need|record|now|one|plan|energi|hottest|read|kill|#scienc,612
119,12,10,action|polici|pai|scienc|glacier|real|point|tip|malcolm|give,640
120,12,10,threat|sec|nation|richard|biggest|water|live|bigger|green|fail,383
121,13,10,govern|complet|intervent|scr|mention|wipe|led|coward|repo|georg,165
122,13,10,govt|repo|scr|intervent|parasit|ridden|ove|greed|#thedr|fear,162
123,13,10,scr|intervent|govern|repo|deinal|top|#notinmynam|environ|nice|govmnt,257
124,13,10,#greatbarrierreef|censor|repo|#reefgat|press|admit|offici|scienc|soviet|gov,511
125,13,10,impact|action|reef|great|barrier|new|real|renew|time|energi,1355
126,13,10,#qanda|elect|deni|make|affect|#describethecoalit|massiv|fossil|water|cover,654
127,13,10,need|major|malcolm|mitig|big|csiro|work|believ|scientist|job,510
128,13,10,world|talk|iss|heritag|site|serio|risk|debat|voter|mention,564
129,13,10,scr|intervent|repo|orwel|#qldpol|govern|shock|spread|streisand|worri,365
130,13,10,remov|refer|effect|pai|exxon|stand|spot|warn|sharehold|weather,456
131,14,10,action|real|plan|job|agenda|secret|reveal|tape|stop|commit,351
132,14,10,cover|forest|fear|kakad|tasmania|#insid|watch|#mediafail|fail|ignor,326
133,14,10,#leadersdeb|coal|red|address|stand|expo|leader|pari|wait|hope,674
134,14,10,malcolm|now|happen|act|believ|abbott|bill|kill|implement|lect,371
135,14,10,polit|talk|posit|marriag|good|contin|today|system|shoen|tax,427
136,14,10,great|reef|barrier|iss|bleach|coral|#scienc|elev|expos|coal,433
137,14,10,need|#greatbarrierreef|scientist|warn|make|slow|threat|show|threaten|conveyor,859
138,14,10,repo|risk|dark|homeown|govern|censor|mention|scr|remov|bank,477
139,14,10,polici|#thedr|labor|tackl|pai|liber|danger|hot|emiss|tweet,558
140,14,10,world|scienc|#qanda|govt|csiro|prod|#coal|nsw|peopl|concern,522
141,15,10,world|real|chang|believ|scienc|serio|thing|happen|stori|biggest,610
142,15,10,island|tho|rememb|home|tire|small|initi|fellowship|deadlin|tom,302
143,15,10,time|need|now|#sydneystorm|top|#eastcoastlow|sta|stop|folk|research,559
144,15,10,plan|action|back|carbon|coast|east|sad|ironi|dissapear|marker,468
145,15,10,make|weather|#qanda|iss|talk|event|elect|one|extrem|peopl,815
146,15,10,sea|great|rise|level|#scienc|scientist|reef|risk|#climateact|barrier,692
147,15,10,impact|coal|act|lead|new|vote|pai|lnp|good|deni,667
148,15,10,malcolm|lose|hope|home|waterfront|swim|notic|blame|#abc|#climatechangeisr,156
149,15,10,storm|save|sydney|role|wild|love|hot|air|eastern|friend,368
150,15,10,#greatbarrierreef|polici|#lnp|barnabi|joyc|remind|minist|dep|prime|malcolm,362
151,16,10,action|need|elect|real|happen|voter|stori|ref|evid|care,559
152,16,10,reef|great|barrier|#gbr|stop|bill|save|back|advoc|tax,428
153,16,10,scientist|flood|storm|one|home|believ|repo|rememb|tho|island,731
154,16,10,#qanda|#climatefizza|agenda|thank|address|#thori|latest|tackl|disconnect|deal,336
155,16,10,polici|peopl|news|work|pai|vote|poll|serio|live|now,525
156,16,10,time|year|disast|warn|lnp|shoen|sta|act|malcolm|now,403
157,16,10,plan|world|iss|sea|agre|fight|big|threat|event|polit,631
158,16,10,impact|victoria|lead|denier|talk|nation|emiss|pledg|forget|weather,551
159,16,10,coal|gro|biggest|dozen|compani|renew|good|energi|make|nat,401
160,16,10,new|#greatbarrierreef|#coal|protect|scienc|open|#qldpol|ignor|advis|larger,431
161,17,10,scientist|emerg|record|show|warn|shatter|today|temperat|set|month,294
162,17,10,reef|great|barrier|made|coral|complain|billboard|disappoint|sass|bleach,289
163,17,10,mammal|wipe|speci|first|case|anthropogen|tip|endem|hawksbil|drown,401
164,17,10,elect|vote|need|coal|biggest|#coal|lnp|gro|tackl|coalit,680
165,17,10,action|real|flood|demand|now|farmer|carbon|stop|farm|fight,527
166,17,10,pai|polici|plan|#leadersdeb|labor|make|talk|lead|malcolm|nation,755
167,17,10,extinct|first|rodent|mammal|play|declar|brambl|tilt|cay|claim,286
168,17,10,new|peopl|one|world|care|kill|read|govt|weather|#greatbarrierreef,668
169,17,10,iss|impact|year|environ|#environ|ref|impo|chang|#scienc|rise,600
