topic,batch,topicsperbatch,keywords,vol,group,totaltopic,totalvol,extract
1,1,10,now|talk|one|heat|fossil|exc|planet|min|free|polit,533,1,2,1163,0
2,1,10,biggest|threat|need|expe|disast|economi|deni|pari|big|oil,559,2,1,559,0
3,1,10,scientist|time|scienc|#sot|obama|#actonclim|impact|tho|presid|fail,627,3,2,1282,0
4,1,10,year|record|hottest|#hottestyear|news|temperat|thank|#market|smash|#pr,379,4,2,1016,0
5,1,10,risk|new|ice|energi|next|food|renew|plant|age|biodivers,585,5,2,1236,0
6,1,10,#thori|#coal|call|sol|#gop|#lnp|face|interest|#oil|politician,446,6,3,1398,31
7,1,10,denier|weather|action|thing|back|believ|real|extrem|right|flood,613,7,3,1727,23
8,1,10,govern|carbon|tax|hawk|consid|polici|tackl|sta|nsw|approach,283,8,1,283,0
9,1,10,econom|serio|world|read|billion|bet|denial|col|wasnt|activ,391,9,1,391,0
10,1,10,affect|fight|make|stop|peopl|good|eah|show|cons|ind,578,10,4,2878,7
11,2,10,tackl|#thori|serio|big|#solar|time|#renew|power|talk|face,605,11,2,1537,0
12,2,10,#csiro|one|malcolm|call|lake|fight|dri|system|lost|innov,486,12,2,952,0
13,2,10,scienc|year|record|#scienc|denier|temperat|peopl|combat|believ|hottest,637,4,2,1016,0
14,2,10,scientist|answer|chief|claim|derid|exec|senior|csiro|money|solv,340,14,1,340,0
15,2,10,world|forest|heritag|thank|zika|tree|sander|affect|increas|poll,547,15,2,1246,0
16,2,10,csiro|research|head|rise|ocean|water|work|red|job|noaa,358,16,3,1365,33
17,2,10,action|need|marriag|real|news|#market|#coal|#pr|join|predict,480,17,3,1075,34
18,2,10,impact|make|stop|great|effect|respons|lnp|weather|#actonclim|ignor,529,18,2,1592,0
19,2,10,new|now|chang|risk|threaten|nat|creat|rep|heat|polit,630,1,2,1163,0
20,2,10,fire|tasmania|devast|good|area|tasmanian|govern|ancient|learn|central,385,20,1,385,0
21,3,10,action|repo|coal|#thori|carbon|stall|frozen|panership|park|power,489,21,2,1084,0
22,3,10,research|rise|sea|year|level|show|rate|big|fastest|island,364,22,4,1946,10
23,3,10,impact|chang|find|link|next|fire|polici|join|ice|peopl,748,23,1,748,0
24,3,10,need|#csiro|scienc|energi|adapt|reef|lead|coral|answer|share,440,24,2,623,0
25,3,10,record|save|protect|jan|nat|right|#ilggclim|temperat|threaten|#speciesonthemov,375,25,1,375,0
26,3,10,threat|believ|face|news|earli|#market|#pr|ripen|grape|wine,402,17,3,1075,34
27,3,10,#csiroc|risk|plan|time|cost|leav|health|fail|danger|damag,458,27,1,458,0
28,3,10,csiro|scientist|speci|fli|navig|model|faster|head|melbo|denier,486,28,1,486,0
29,3,10,now|new|make|talk|thing|econom|great|combat|dep|singl,539,29,1,539,0
30,3,10,world|effect|#scienc|one|act|affect|govern|increas|nation|good,699,15,2,1246,0
31,4,10,action|chang|save|leader|sta|elect|make|need|vital|brave,264,31,2,823,0
32,4,10,address|act|iss|pai|white|big|paper|risk|deni|abbott,464,32,3,1444,29
33,4,10,speech|leo|#oscar|accept|oscar|win|thank|talk|fossil|indigen,480,33,1,480,0
34,4,10,scientist|record|sea|planet|#actonclim|ice|rise|effect|temperat|tackl,643,34,2,1014,0
35,4,10,world|great|nat|increas|believ|fight|find|arg|denier|nbn,606,35,1,606,0
36,4,10,leonardo|now|year|stop|tho|hit|wait|dicaprio|warn|read,461,36,4,1903,13
37,4,10,call|debat|liber|nsw|nation|scienc|lib|sign|#lnp|#coal,389,6,3,1398,31
38,4,10,threat|real|right|face|sho|happen|entir|winner|#oscar|victim,354,38,1,354,0
39,4,10,need|polit|news|make|polici|#scienc|toni|windsor|green|carbon,512,39,2,1146,0
40,4,10,peopl|new|impact|health|repo|#heathealth|one|time|research|million,826,40,2,1424,0
41,5,10,need|now|scienc|#thori|reef|great|news|iss|believ|nation,566,41,4,2535,8
42,5,10,new|one|make|coal|talk|carbon|csiro|day|chang|stop,825,10,4,2878,7
43,5,10,time|disc|peopl|govern|call|politician|serio|marriag|tweet|contin,390,43,2,888,0
44,5,10,temperat|spike|polici|shocker|overdr|scientist|work|danger|happen|labor,295,44,2,634,0
45,5,10,scientist|chief|warn|weather|#scienc|energi|extrem|link|lose|battl,377,45,3,959,36
46,5,10,record|world|heat|show|febr|lose|battl|set|mileston|smash,473,46,3,1470,27
47,5,10,#qanda|denier|rate|deni|alarm|place|conseq|liber|give|#lnpfail,491,47,1,491,0
48,5,10,emiss|#greatbarrierreef|risk|level|#coralbleach|bleach|rise|strong|sea|inact,537,22,4,1946,10
49,5,10,research|mari|action|#eahho|robinson|year|polit|threat|fight|presid,725,49,1,725,0
50,5,10,poll|right|address|feder|#essenti|amo|effo|activ|normal|realiti,320,50,1,320,0
51,6,10,warn|time|year|stop|first|tho|#thori|abbott|live|address,480,36,4,1903,13
52,6,10,now|day|record|destroy|evid|solid|respons|save|increas|wors,411,52,1,411,0
53,6,10,devast|#gbr|#coralbleach|fear|polici|temperat|#csiro|spike|speaker|marriag,339,44,2,634,0
54,6,10,health|impact|emiss|carbon|sea|rise|fact|effect|good|today,771,54,3,2085,17
55,6,10,world|john|make|hewson|recess|face|head|adani|job|crisi,344,55,1,344,0
56,6,10,action|coal|scienc|financi|talk|believ|energi|csiro|real|wipe,635,56,3,1749,22
57,6,10,reef|great|barrier|danger|bleach|coral|grave|attenboro|chang|deni,433,57,8,3501,1
58,6,10,scientist|repo|research|denier|worri|coalit|sack|ice|meteorolog|plan,449,58,1,449,0
59,6,10,new|govt|#coal|ignor|one|approv|sign|power|pari|lnp,628,59,3,1541,26
